INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]130
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]131
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]132
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]133
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]134
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]135
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]136
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]137
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]138
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]139
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]140
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]141
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]142
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]143
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]144
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]145
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]146
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]147
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]148
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]149
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]150
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]151
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]152
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]153
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]154
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]155
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]156
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]157
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]158
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]159
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]160
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]161
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]162
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]163
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]164
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]165
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]166
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]167
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]168
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]169
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]170
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]171
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]172
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]173
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]174
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]175
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]176
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]177
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]178
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]179
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]180
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]181
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]182
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]183
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]184
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]185
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]186
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]187
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]188
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]189
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]190
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]191
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]192
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]193
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]194
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]195
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]196
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]197
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]198
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]199
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]200
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]201
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]202
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]203
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]204
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]205
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]206
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]207
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]208
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]209
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]210
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]211
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]212
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]213
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]214
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]215
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]216
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]217
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]218
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]219
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]220
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]221
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]222
INFO:1540133653[e:\repo\oneshot\oneshot\main.cpp : 26]223
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]224
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]225
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]226
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]227
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]228
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]229
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]230
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]231
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]232
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]233
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]234
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]235
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]236
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]237
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]238
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]239
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]240
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]241
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]242
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]243
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]244
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]245
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]246
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]247
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]248
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]249
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]250
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]251
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]252
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]253
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]254
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]255
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]256
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]257
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]258
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]259
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]260
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]261
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]262
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]263
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]264
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]265
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]266
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]267
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]268
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]269
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]270
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]271
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]272
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]273
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]274
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]275
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]276
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]277
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]278
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]279
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]280
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]281
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]282
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]283
